"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family"
"142" "orth015" 3 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"143" "orth031" 5 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"144" "orth008" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"145" "orth032" 2 "w1g6p3" "piptar" "7/14/2016" "A" "orth"
"146" "orth052" 2 "w1g6p3" "breyce" "7/14/2016" "L" "orth"
"147" "orth011" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth"
"148" "orth030" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth"
"149" "orth044" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth"
"150" "orth019" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth"
"151" "orth015" 3 "w1g6p3" "tremor" "7/14/2016" "L" "orth"
"152" "orth054" 5 "w1g6p3" "tremor" "7/14/2016" "L" "orth"
"153" "orth055" 1 "w1g2p6" "macata" "8/6/2016" "A" "orth"
"154" "orth056" 1 "w1g2p6" "macata" "8/6/2016" "L" "orth"
"155" "orth055" 1 "w1g2p6" "melamu" "8/6/2016" "A" "orth"
"156" "orth057" 1 "w1g2p6" "melamu" "8/6/2016" "L" "orth"
"157" "orth007" 2 "w1g2p6" "melamu" "8/6/2016" "L" "orth"
"158" "orth019" 3 "w1g2p6" "melamu" "8/6/2016" "L" "orth"
"159" "orth003" 3 "w1g2p6" "melamu" "8/6/2016" "A" "orth"
"160" "orth014" 2 "w1g2p6" "melamu" "8/6/2016" "A" "orth"
"161" "orth043" 2 "w1g2p6" "melamu" "8/6/2016" "A" "orth"
"162" "orth021" 1 "w1g2p6" "melamu" "8/6/2016" "L" "orth"
"163" "orth008" 1 "w1g2p6" "melamu" "8/6/2016" "L" "orth"
"164" "orth048" 1 "w1g2p6" "cordte" "8/6/2016" "L" "orth"
"165" "orth015" 2 "w1g2p6" "cordte" "8/6/2016" "L" "orth"
"166" "orth013" 1 "w1g2p6" "cordte" "8/6/2016" "L" "orth"
"167" "orth013" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth"
"168" "orth004" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth"
"169" "orth019" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth"
"170" "orth031" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth"
"171" "orth052" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth"
"172" "orth028" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth"
"173" "orth001" 2 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"174" "orth031" 2 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"175" "orth033" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"176" "orth044" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"177" "orth016" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"178" "orth005" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"179" "orth006" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth"
"180" "orth031" 5 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"181" "orth020" 17 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"182" "orth035" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"183" "orth012" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"184" "orth017" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"185" "orth048" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"186" "orth008" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"187" "orth059" 1 "w1g6p5" "piptar" "7/11/2016" "A" "orth"
"188" "orth013" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"189" "orth011" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"190" "orth024" 4 "w1g6p5" "piptar" "7/11/2016" "A" "orth"
"191" "orth050" 4 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"192" "orth006" 3 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"193" "orth001" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"194" "orth002" 1 "w1g6p5" "piptar" "7/11/2016" "A" "orth"
"195" "orth003" 3 "w1g6p5" "piptar" "7/11/2016" "A" "orth"
"196" "orth004" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"197" "orth005" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"198" "orth030" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"199" "orth045" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"200" "orth049" 3 "w1g6p5" "piptar" "7/11/2016" "A" "orth"
"201" "orth019" 6 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"202" "orth043" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"203" "orth025" 3 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"204" "orth037" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth"
"205" "orth013" 1 "w1g6p5" "tremor" "7/11/2016" "L" "orth"
"206" "orth020" 5 "w1g6p5" "tremor" "7/11/2016" "L" "orth"
"207" "orth028" 3 "w1g6p5" "tremor" "7/11/2016" "L" "orth"
"208" "orth015" 3 "w1g6p5" "tremor" "7/11/2016" "L" "orth"
"209" "orth054" 5 "w1g6p5" "tremor" "7/11/2016" "L" "orth"
"210" "orth030" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"211" "orth045" 2 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"212" "orth001" 2 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"213" "orth002" 1 "w1g6p5" "tricpl" "7/11/2016" "A" "orth"
"214" "orth003" 2 "w1g6p5" "tricpl" "7/11/2016" "A" "orth"
"215" "orth024" 9 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"216" "orth024" 5 "w1g6p5" "tricpl" "7/11/2016" "A" "orth"
"217" "orth011" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"218" "orth040" 1 "w1g6p5" "tricpl" "7/11/2016" "A" "orth"
"219" "orth013" 4 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"220" "orth020" 3 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"221" "orth028" 5 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"222" "orth051" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"223" "orth043" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"224" "orth026" 1 "w1g6p5" "tricpl" "7/11/2016" "A" "orth"
"225" "orth037" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"226" "orth015" 3 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"227" "orth050" 2 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"228" "orth018" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth"
"229" "orth001" 5 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"230" "orth013" 1 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"231" "orth019" 2 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"232" "orth004" 1 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"233" "orth024" 2 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"234" "orth018" 2 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"235" "orth025" 1 "w1g6p5" "melamu" "7/11/2016" "L" "orth"
"236" "orth060" 1 "w1g1p3" "tricpl" "8/17/2016" "A" "orth"
"237" "orth061" 1 "w1g1p3" "breyce" "8/17/2016" "A" "orth"
"238" "orth027" 1 "w1g1p3" "piptar" "8/17/2016" "A" "orth"
"239" "orth003" 1 "w1g1p3" "piptar" "8/17/2016" "A" "orth"
"240" "orth020" 2 "w1g1p3" "piptar" "8/17/2016" "L" "orth"
"241" "orth028" 1 "w1g1p3" "piptar" "8/17/2016" "L" "orth"
"242" "orth046" 1 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"243" "orth035" 1 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"244" "orth013" 2 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"245" "orth062" 1 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"246" "orth037" 1 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"247" "orth020" 9 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
