morph,nospec,r_cm_size
aran041,14,0.465
aran041,15,0.395
aran041,16,0.255
aran041,17,0.76
aran041,18,1.1
aran041,19,0.335
aran041,20,0.345
aran042,1,0.215
aran042,2,0.25
aran042,3,0.25
aran042,4,0.235
aran042,5,0.235
aran042,6,0.27
aran042,7,0.28
aran042,8,0.25
aran042,9,0.27
aran042,10,0.27
aran042,11,0.245
aran042,12,0.215
aran042,13,0.23
aran042,14,0.215
aran042,15,0.225
aran043,1,0.29
aran043,2,0.24
aran043,3,0.325
aran043,4,0.24
aran043,5,0.3
aran043,6,0.31
aran043,7,0.37
aran043,8,0.22
aran043,9,0.275
aran043,10,0.22
aran043,11,0.34
aran044,1,0.375
aran044,2,0.25
aran045,1,0.46
aran045,2,0.395
aran045,3,0.31
aran045,4,0.395
aran045,5,0.395
aran045,6,0.43
aran046,1,0.53
aran046,2,0.55
aran046,3,0.52
aran046,4,0.65
aran046,5,0.73
aran046,6,0.46
aran046,7,0.51
aran046,8,0.52
aran046,9,0.61
aran046,10,0.81
aran046,11,0.72
aran046,12,0.55
aran046,13,0.63
aran046,14,0.465
aran046,15,0.445
aran046,16,0.61
aran046,17,0.425
aran046,18,0.35
aran046,19,0.71
aran046,20,0.64
aran047,1,0.35
aran048,1,0.425
aran049,1,0.23
aran049,2,0.255
aran049,3,0.23
aran049,4,0.17
aran049,5,0.205
aran049,6,0.245
aran049,7,0.14
aran049,8,0.2
aran050,1,1.5
aran050,2,1.4
aran050,3,0.78
aran050,4,1.5
aran050,5,1.6
aran050,6,1.5
aran050,7,1.7
aran051,1,0.67
aran051,2,0.93
aran051,3,0.62
aran051,4,0.69
aran051,5,0.63
aran051,6,0.56
aran051,7,1.1
aran051,8,0.5
aran051,9,0.435
aran051,10,0.5
aran051,11,0.84
aran051,12,0.65
aran051,13,0.385
aran051,14,0.375
aran051,15,0.94
aran051,16,0.68
aran051,17,0.81
aran051,18,0.77
aran052,1,0.7
aran052,2,0.53
aran052,3,0.34
aran052,4,0.54
aran052,5,0.64
aran052,6,0.63
aran052,7,0.63
aran052,8,0.53
aran052,9,0.57
aran052,10,0.68
aran053,1,0.23
aran054,1,0.31
aran054,2,0.345
aran054,3,0.34
aran055,1,0.32
aran055,2,0.285
aran055,3,0.39
aran055,4,0.295
aran055,5,0.485
aran055,6,0.37
aran055,7,0.475
aran055,8,0.5
aran055,9,0.45
aran055,10,0.31
aran055,11,0.34
aran056,1,0.385
aran056,2,0.285
aran056,3,0.5
aran056,4,0.445
aran056,5,0.17
aran056,6,0.41
aran056,7,0.305
aran056,8,0.275
aran056,9,0.365
aran056,10,0.355
aran056,11,0.375
aran056,12,0.16
aran056,13,0.365
aran056,14,0.395
aran056,15,0.365
aran056,16,0.35
aran056,17,0.38
aran056,18,0.315
aran056,19,0.4
aran056,20,0.41
aran057,1,0.57
aran057,2,0.49
aran057,3,0.49
aran057,4,0.445
aran057,5,0.2
aran057,6,0.445
aran057,7,0.5
aran057,8,0.63
aran057,9,0.46
aran057,10,0.47
aran057,11,0.45
aran057,12,0.43
aran057,13,0.435
aran058,1,0.62
aran058,2,0.51
aran058,3,0.73
aran058,4,0.62
aran058,5,1.5
aran058,6,0.81
aran058,7,0.93
aran058,8,0.67
aran059,1,0.47
aran059,2,0.88
aran059,3,0.59
aran059,4,0.45
aran059,5,0.61
aran059,6,0.62
aran059,7,0.61
aran059,8,0.62
aran059,9,0.75
aran059,10,0.4
aran059,11,0.6
aran059,12,0.62
aran059,13,0.53
aran059,14,0.465
aran059,15,0.8
aran059,16,0.58
aran059,17,0.39
aran059,18,0.57
aran059,19,0.28
aran059,20,0.57
aran060,1,0.98
aran060,2,0.89
aran060,3,1.4
aran060,4,1.4
aran060,5,0.79
aran060,6,0.71
aran060,7,0.87
aran060,8,1.2
aran060,9,1.3
aran060,10,1.2
aran060,11,1.02
aran060,12,0.82
aran060,13,0.91
aran060,14,0.88
aran060,15,0.91
aran061,1,0.53
aran061,2,0.62
aran061,3,0.41
aran061,4,0.73
aran061,5,0.69
aran061,6,0.43
aran062,1,0.375
aran063,1,0.235
aran064,1,0.95
aran064,2,0.485
aran064,3,0.94
aran064,4,0.4
aran064,5,0.435
aran064,6,0.53
aran064,7,0.38
aran064,8,0.66
aran065,1,0.405
aran065,2,0.405
aran066,1,0.62
aran066,2,0.86
aran066,3,0.81
aran066,4,0.76
aran066,5,0.345
aran067,1,0.33
aran067,2,0.345
aran067,3,0.36
aran067,4,0.255
aran067,5,0.27
aran067,6,0.345
aran068,1,0.265
aran069,1,0.3
aran069,2,0.22
aran069,3,0.6
aran070,1,0.27
aran070,2,0.275
aran070,3,0.23
aran070,4,0.275
aran071,1,0.7
aran071,2,0.48
aran071,3,0.64
aran071,4,0.74
aran071,5,0.35
aran071,6,0.66
aran071,7,1.3
aran071,8,0.69
aran071,9,0.67
aran071,10,0.53
aran071,11,0.53
aran071,12,0.76
aran071,13,0.36
aran071,14,1.1
aran071,15,0.66
aran072,1,0.46
aran072,2,0.47
aran072,3,0.265
aran072,4,0.445
aran072,5,0.37
aran072,6,0.45
aran072,7,0.445
aran072,8,0.35
aran072,9,0.59
aran072,10,0.3
aran072,11,0.345
aran072,12,0.445
aran072,13,0.53
aran072,14,0.335
aran072,15,0.66
aran072,16,0.64
aran072,17,0.71
aran072,18,0.65
aran072,19,0.415
aran072,20,0.485
aran073,1,0.415
aran073,2,0.375
aran073,3,0.425
aran073,4,0.455
aran073,5,0.255
aran073,6,0.71
aran073,7,0.26
aran073,8,0.38
aran073,9,0.28
aran073,10,0.48
aran073,11,0.39
aran073,12,0.46
aran073,13,0.355
aran073,14,0.295
aran073,15,0.375
aran073,16,0.65
aran073,17,0.53
aran073,18,0.31
aran073,19,0.405
aran073,20,0.6
aran074,1,0.405
aran074,2,0.29
aran074,3,0.31
aran074,4,0.42
aran074,5,0.285
aran074,6,0.21
aran074,7,0.23
aran074,8,0.19
aran074,9,0.16
aran075,1,0.295
aran075,2,0.29
aran075,3,0.305
aran075,4,0.385
aran075,5,0.265
aran075,6,0.235
aran076,1,0.24
aran076,2,0.225
aran077,1,0.77
aran077,2,0.67
