"morphotype" "no" "size" "scale" "scl" "notes" "NA" "nscl" "rsize"
"120" "mant010" 1 7 "cm" 1 "" "mant" 1 7
"121" "mant010" 2 7.1 "cm" 1 "" "mant" 1 7.1
"122" "mant010" 3 6.5 "cm" 1 "" "mant" 1 6.5
"123" "mant010" 4 7.5 "cm" 1 "" "mant" 1 7.5
"124" "mant010" 5 6.6 "cm" 1 "" "mant" 1 6.6
"125" "mant011" 1 4.6 "cm" 1 "" "mant" 1 4.6
"126" "mant011" 2 7 "cm" 1 "" "mant" 1 7
"127" "mant011" 3 2.2 "cm" 1 "" "mant" 1 2.2
"128" "mant011" 4 5.9 "cm" 1 "" "mant" 1 5.9
"129" "mant011" 5 4.3 "cm" 1 "" "mant" 1 4.3
"130" "mant011" 6 4.7 "cm" 1 "" "mant" 1 4.7
"131" "mant011" 7 3.2 "cm" 1 "" "mant" 1 3.2
"132" "mant011" 8 3.3 "cm" 1 "" "mant" 1 3.3
"133" "mant012" 1 6.4 "cm" 1 "" "mant" 1 6.4
"134" "mant012" 2 5.3 "cm" 1 "" "mant" 1 5.3
"135" "mant012" 3 6 "cm" 1 "" "mant" 1 6
"136" "mant013" 1 3.1 "cm" 1 "" "mant" 1 3.1
"137" "mant013" 2 2.9 "cm" 1 "" "mant" 1 2.9
"138" "mant013" 3 2.9 "cm" 1 "" "mant" 1 2.9
"139" "mant014" 1 1.2 "cm" 1 "" "mant" 1 1.2
"140" "mant014" 2 1.3 "cm" 1 "" "mant" 1 1.3
"141" "mant014" 3 1.7 "cm" 1 "" "mant" 1 1.7
"142" "mant014" 4 1.6 "cm" 1 "" "mant" 1 1.6
"143" "aran001" 1 7.5 "1 cm" 1 "" "aran" 10 0.75
"144" "aran001" 2 7.2 "" 0.5 "" "aran" 20 0.36
"145" "aran001" 3 5.7 "1 cm" 1 "" "aran" 10 0.57
"146" "aran001" 4 9.3 "" 0.5 "" "aran" 20 0.465
"147" "aran001" 5 1.1 "cm" 1 "" "aran" 1 1.1
"148" "aran001" 6 6.8 "" 0.5 "" "aran" 20 0.34
"149" "aran001" 7 8.6 "" 0.5 "" "aran" 20 0.43
"150" "aran001" 8 9.2 "" 0.5 "" "aran" 20 0.46
"151" "aran001" 9 7.7 "1 cm" 1 "" "aran" 10 0.77
"152" "aran001" 10 9.3 "" 0.5 "" "aran" 20 0.465
"153" "aran001" 11 7.2 "1 cm" 1 "" "aran" 10 0.72
"154" "aran001" 12 5.3 "1 cm" 1 "" "aran" 10 0.53
"155" "aran001" 13 6.1 "1 cm" 1 "" "aran" 10 0.61
"156" "aran001" 14 7.8 "1 cm" 1 "" "aran" 10 0.78
"157" "aran001" 15 7.9 "" 0.5 "" "aran" 20 0.395
"158" "aran001" 16 6 "1 cm" 1 "" "aran" 10 0.6
"159" "aran001" 17 7.5 "" 0.5 "" "aran" 20 0.375
"160" "aran001" 18 6.8 "1 cm" 1 "" "aran" 10 0.68
"161" "aran001" 19 7.9 "" 0.5 "" "aran" 20 0.395
"162" "aran001" 20 9.9 "" 0.5 "" "aran" 20 0.495
"163" "aran002" 1 6.9 "1 cm" 1 "" "aran" 10 0.69
"164" "aran002" 2 7.2 "1 cm" 1 "" "aran" 10 0.72
"165" "aran002" 3 6.6 "1 cm" 1 "" "aran" 10 0.66
"166" "aran002" 4 5.1 "1 cm" 1 "" "aran" 10 0.51
"167" "aran002" 5 5.3 "1 cm" 1 "" "aran" 10 0.53
"168" "aran002" 6 5.7 "1 cm" 1 "" "aran" 10 0.57
"169" "aran002" 7 6.6 "1 cm" 1 "" "aran" 10 0.66
"170" "aran002" 8 5.6 "1 cm" 1 "" "aran" 10 0.56
"171" "aran002" 9 4.8 "" 0.5 "" "aran" 20 0.24
"172" "aran002" 10 5.3 "1 cm" 1 "" "aran" 10 0.53
"173" "aran002" 11 5.6 "1 cm" 1 "" "aran" 10 0.56
"174" "aran002" 12 6.4 "1 cm" 1 "" "aran" 10 0.64
"175" "aran003" 1 6.2 "1 cm" 1 "" "aran" 10 0.62
"176" "aran003" 2 6.5 "1 cm" 1 "" "aran" 10 0.65
"177" "aran003" 3 6 "1 cm" 1 "" "aran" 10 0.6
"178" "aran003" 4 8.8 "1 cm" 1 "" "aran" 10 0.88
"179" "aran003" 5 6.6 "" 0.5 "" "aran" 20 0.33
"180" "aran003" 6 6.6 "1 cm" 1 "" "aran" 10 0.66
"181" "aran003" 7 6.6 "" 0.5 "" "aran" 20 0.33
"182" "aran003" 8 8.9 "" 0.5 "" "aran" 20 0.445
"183" "aran003" 9 7.2 "1 cm" 1 "" "aran" 10 0.72
"184" "aran003" 10 7 "1 cm" 1 "" "aran" 10 0.7
"185" "aran003" 11 7.6 "" 0.5 "" "aran" 20 0.38
"186" "aran003" 12 5.8 "1 cm" 1 "" "aran" 10 0.58
"187" "aran003" 13 6.5 "1 cm" 1 "" "aran" 10 0.65
"188" "aran003" 14 6.2 "1 cm" 1 "" "aran" 10 0.62
"189" "aran003" 15 9.2 "" 0.5 "" "aran" 20 0.46
"190" "aran003" 16 5.4 "1 cm" 1 "" "aran" 10 0.54
"191" "aran003" 17 7.4 "" 0.5 "" "aran" 20 0.37
"192" "aran003" 18 8.6 "1 cm" 1 "" "aran" 10 0.86
"193" "aran003" 19 5.5 "1 cm" 1 "" "aran" 10 0.55
"194" "aran003" 20 7.9 "1 cm" 1 "" "aran" 10 0.79
"195" "aran004" 1 6.2 "1 cm" 1 "" "aran" 10 0.62
"196" "aran004" 2 8 "" 0.5 "" "aran" 20 0.4
"197" "aran004" 3 6 "1 cm" 1 "" "aran" 10 0.6
"198" "aran004" 4 6 "1 cm" 1 "" "aran" 10 0.6
"199" "aran004" 5 6 "1 cm" 1 "" "aran" 10 0.6
"200" "aran004" 6 6.9 "1 cm" 1 "" "aran" 10 0.69
"201" "aran004" 7 5.2 "1 cm" 1 "" "aran" 10 0.52
"202" "aran004" 8 5.3 "1 cm" 1 "" "aran" 10 0.53
"203" "aran004" 9 7.2 "" 0.5 "" "aran" 20 0.36
"204" "aran004" 10 8.7 "" 0.5 "" "aran" 20 0.435
"205" "aran005" 1 9.5 "" 0.5 "" "aran" 20 0.475
"206" "aran005" 2 6.3 "1 cm" 1 "" "aran" 10 0.63
"207" "aran005" 3 7.6 "1 cm" 1 "" "aran" 10 0.76
"208" "aran005" 4 7.5 "1 cm" 1 "" "aran" 10 0.75
"209" "aran005" 5 7.4 "1 cm" 1 "" "aran" 10 0.74
"210" "aran005" 6 7.3 "" 0.5 "" "aran" 20 0.365
"211" "aran005" 7 8.3 "" 0.5 "" "aran" 20 0.415
"212" "aran005" 8 9.7 "1 cm" 1 "" "aran" 10 0.97
"213" "aran005" 9 6.3 "1 cm" 1 "" "aran" 10 0.63
"214" "aran005" 10 8.4 "1 cm" 1 "" "aran" 10 0.84
"215" "aran005" 11 8 "1 cm" 1 "" "aran" 10 0.8
"216" "aran005" 12 9.7 "1 cm" 1 "" "aran" 10 0.97
"217" "aran005" 13 9.9 "1 cm" 1 "" "aran" 10 0.99
"218" "aran005" 14 6.2 "1 cm" 1 "" "aran" 10 0.62
"219" "aran006" 1 5 "1 cm" 1 "" "aran" 10 0.5
"220" "aran006" 2 8.7 "" 0.5 "" "aran" 20 0.435
"221" "aran006" 3 5.9 "1 cm" 1 "" "aran" 10 0.59
"222" "aran006" 4 5.3 "1 cm" 1 "" "aran" 10 0.53
"223" "aran006" 5 5.8 "1 cm" 1 "" "aran" 10 0.58
"224" "aran006" 6 6 "1 cm" 1 "" "aran" 10 0.6
"225" "aran006" 7 6.8 "1 cm" 1 "" "aran" 10 0.68
"226" "aran006" 8 7.2 "1 cm" 1 "" "aran" 10 0.72
"227" "aran006" 9 6.2 "1 cm" 1 "" "aran" 10 0.62
"228" "aran006" 10 6.2 "1 cm" 1 "" "aran" 10 0.62
"229" "aran006" 11 6.1 "1 cm" 1 "" "aran" 10 0.61
"230" "aran006" 12 6.6 "1 cm" 1 "" "aran" 10 0.66
"231" "aran006" 13 7 "1 cm" 1 "" "aran" 10 0.7
"232" "aran006" 14 6.4 "1 cm" 1 "" "aran" 10 0.64
"233" "aran006" 15 6.1 "1 cm" 1 "" "aran" 10 0.61
"234" "aran006" 16 6.4 "1 cm" 1 "" "aran" 10 0.64
"235" "aran006" 17 5.7 "1 cm" 1 "" "aran" 10 0.57
"236" "aran006" 18 5.6 "1 cm" 1 "" "aran" 10 0.56
"237" "aran006" 19 9 "" 0.5 "" "aran" 20 0.45
"238" "aran006" 20 7.2 "1 cm" 1 "" "aran" 10 0.72
"239" "aran007" 1 8.2 "" 0.5 "" "aran" 20 0.41
"240" "aran007" 2 1.2 "cm" 1 "" "aran" 1 1.2
"241" "aran007" 3 8.3 "1 cm" 1 "" "aran" 10 0.83
"242" "aran007" 4 5.7 "1 cm" 1 "" "aran" 10 0.57
"243" "aran007" 5 9.5 "1 cm" 1 "" "aran" 10 0.95
"244" "aran007" 6 10 "1 cm" 1 "" "aran" 10 1
"245" "aran007" 7 9.9 "1 cm" 1 "" "aran" 10 0.99
"246" "aran008" 1 8 "1 cm" 1 "" "aran" 10 0.8
"247" "aran008" 2 1.1 "cm" 1 "" "aran" 1 1.1
"248" "aran008" 3 10 "1 cm" 1 "" "aran" 10 1
"249" "aran008" 4 6 "1 cm" 1 "" "aran" 10 0.6
"250" "aran008" 5 9.4 "" 0.5 "" "aran" 20 0.47
"251" "aran008" 6 8.1 "" 0.5 "" "aran" 20 0.405
"252" "aran008" 7 5.4 "" 0.5 "" "aran" 20 0.27
"253" "aran008" 8 9 "" 0.5 "" "aran" 20 0.45
"254" "aran008" 9 1.3 "cm" 1 "" "aran" 1 1.3
"255" "aran008" 10 7 "1 cm" 1 "" "aran" 10 0.7
"256" "aran008" 11 7.2 "" 0.5 "" "aran" 20 0.36
"257" "aran008" 12 7.6 "1 cm" 1 "" "aran" 10 0.76
"258" "aran008" 13 7.6 "1 cm" 1 "" "aran" 10 0.76
"259" "aran008" 14 6.1 "1 cm" 1 "" "aran" 10 0.61
"260" "aran008" 15 7 "" 0.5 "" "aran" 20 0.35
"261" "aran008" 16 8.9 "" 0.5 "" "aran" 20 0.445
"262" "aran008" 17 7 "" 0.5 "" "aran" 20 0.35
"263" "aran008" 18 7.6 "" 0.5 "" "aran" 20 0.38
"264" "aran008" 19 7.1 "1 cm" 1 "" "aran" 10 0.71
"265" "aran008" 20 1.1 "cm" 1 "" "aran" 1 1.1
"266" "aran009" 1 7.2 "1 cm" 1 "" "aran" 10 0.72
