"morph" "size" "group" "a" "b" "bio"
"115" "aran115" 0.4225 "aran" -2.13 2.23 0.0173998828460084
"116" "aran116" 0.91 "aran" -2.13 2.23 0.0962975101915645
"117" "aran117" 0.5975 "aran" -2.13 2.23 0.0376865421938259
"118" "aran118" 0.736666666666667 "aran" -2.13 2.23 0.0601128233027029
"119" "aran119" 0.575833333333333 "aran" -2.13 2.23 0.0347068037841309
"120" "aran120" 0.72 "aran" -2.13 2.23 0.0571221072872433
"121" "aran121" 0.4825 "aran" -2.13 2.23 0.0233965472998687
"122" "aran122" 0.448 "aran" -2.13 2.23 0.0198290872977755
"123" "aran123" 0.2375 "aran" -2.13 2.23 0.00481595713390919
"124" "aran124" 0.67 "aran" -2.13 2.23 0.0486518729072449
"125" "aran125" 1.4 "aran" -2.13 2.23 0.251662364730178
"126" "aran126" 0.375 "aran" -2.13 2.23 0.013336518771388
"127" "aran127" 1.5 "aran" -2.13 2.23 0.293519028455197
"128" "aran128" 0.56 "aran" -2.13 2.23 0.0326145997942278
"129" "aran129" 0.56 "aran" -2.13 2.23 0.0326145997942278
"130" "aran130" 0.26 "aran" -2.13 2.23 0.00589309333502085
"131" "aran131" 1.4 "aran" -2.13 2.23 0.251662364730178
"132" "aran132" 0.8 "aran" -2.13 2.23 0.07225092715833
"133" "cole001" 0.5755 "cole" -3.2 2.56 0.00990771938221959
"134" "cole002" 0.8615 "cole" -3.2 2.56 0.0278298701045603
"135" "cole003" 0.503 "cole" -3.2 2.56 0.00701894274270534
"136" "cole005" 0.3425 "cole" -3.2 2.56 0.0026241504577136
"137" "cole006" 0.325 "cole" -3.2 2.56 0.0022944524508791
"138" "cole007" 1.04545454545455 "cole" -3.2 2.56 0.045675031465491
"139" "cole008" 0.812 "cole" -3.2 2.56 0.0239177924418156
"140" "cole009" 0.905 "cole" -3.2 2.56 0.0315702499750839
"141" "cole010" 0.675 "cole" -3.2 2.56 0.0149030554162362
"142" "cole011" 0.5775 "cole" -3.2 2.56 0.00999610360256738
"143" "cole012" 0.961333333333333 "cole" -3.2 2.56 0.0368481001764195
"144" "cole013" 0.765 "cole" -3.2 2.56 0.0205319846972133
"145" "cole014" 1.43 "cole" -3.2 2.56 0.101839888186751
"146" "cole015" 0.9415 "cole" -3.2 2.56 0.0349331451374197
"147" "cole016" 0.570588235294118 "cole" -3.2 2.56 0.0096926841063195
"148" "cole018" 0.649 "cole" -3.2 2.56 0.0134773368047257
"149" "cole020" 0.94 "cole" -3.2 2.56 0.0347908438869111
"150" "cole021" 0.75 "cole" -3.2 2.56 0.0195170642667864
"151" "cole022" 1.081 "cole" -3.2 2.56 0.0497566845774379
"152" "cole023" 0.56 "cole" -3.2 2.56 0.00923887320895458
"153" "cole025" 0.69 "cole" -3.2 2.56 0.0157656300075995
"154" "cole026" 0.3895 "cole" -3.2 2.56 0.00364717632999108
"155" "cole027" 0.418 "cole" -3.2 2.56 0.00436987424607358
"156" "cole028" 0.336 "cole" -3.2 2.56 0.0024985394328663
"157" "cole029" 0.62 "cole" -3.2 2.56 0.0119889288555973
"158" "cole030" 0.257 "cole" -3.2 2.56 0.00125801683698513
"159" "cole032" 0.52 "cole" -3.2 2.56 0.00764233758055104
"160" "cole033" 0.804736842105263 "cole" -3.2 2.56 0.0233739226287747
"161" "cole034" 0.29925 "cole" -3.2 2.56 0.00185739856272509
"162" "cole035" 0.498 "cole" -3.2 2.56 0.00684171178966371
"163" "cole037" 0.475238095238095 "cole" -3.2 2.56 0.00606946552705124
"164" "cole038" 1.4 "cole" -3.2 2.56 0.0964595939130921
"165" "cole040" 0.52 "cole" -3.2 2.56 0.00764233758055104
"166" "cole041" 0.545 "cole" -3.2 2.56 0.00861852019759444
"167" "cole042" 0.465 "cole" -3.2 2.56 0.00574033472500181
"168" "cole043" 0.995 "cole" -3.2 2.56 0.0402424807164271
"169" "cole044" 0.709 "cole" -3.2 2.56 0.0169009851429124
"170" "cole045" 1.015 "cole" -3.2 2.56 0.0423458374480936
"171" "cole046" 0.25 "cole" -3.2 2.56 0.00117215239728577
"172" "cole047" 0.4 "cole" -3.2 2.56 0.00390419261574929
"173" "cole048" 0.65 "cole" -3.2 2.56 0.0135305624754767
"174" "cole050" 0.2675 "cole" -3.2 2.56 0.0013938195476049
