"morph" "size" "group" "a" "b" "bio"
"179" "cole056" 0.7025 "cole" -3.2 2.56 5.99338613835279
"180" "cole057" 0.6 "cole" -3.2 2.56 4.00244026447446
"181" "cole058" 0.4 "cole" -3.2 2.56 1.41752666037405
"182" "cole059" 0.47175 "cole" -3.2 2.56 2.16252005884436
"183" "cole060" 1.874 "cole" -3.2 2.56 73.8835576517011
"184" "cole061" 1.07222222222222 "cole" -3.2 2.56 17.6924002573001
"185" "cole062" 0.486666666666667 "cole" -3.2 2.56 2.34191191749703
"186" "cole063" 0.3825 "cole" -3.2 2.56 1.26413700038643
"187" "cole064" 0.79 "cole" -3.2 2.56 8.09436923887195
"188" "cole065" 3.1 "cole" -3.2 2.56 268.005430531279
"189" "cole066" 1.02 "cole" -3.2 2.56 15.5694796296673
"190" "cole067" 0.99 "cole" -3.2 2.56 14.423934982218
"191" "cole068" 0.358333333333333 "cole" -3.2 2.56 1.06962837249246
"192" "cole069" 0.56 "cole" -3.2 2.56 3.35443211297483
"193" "cole070" 0.778571428571429 "cole" -3.2 2.56 7.79797289522174
"194" "cole071" 1.28 "cole" -3.2 2.56 27.8429456863815
"195" "cole072" 0.24 "cole" -3.2 2.56 0.383352620820802
"196" "cole073" 0.63 "cole" -3.2 2.56 4.53491827065113
"197" "cole074" 0.39 "cole" -3.2 2.56 1.32856574883873
"198" "cole075" 0.694 "cole" -3.2 2.56 5.80948857927276
"199" "cole076" 0.653333333333333 "cole" -3.2 2.56 4.97740280838644
"200" "cole077" 0.9 "cole" -3.2 2.56 11.3010418205886
"201" "cole078" 0.75 "cole" -3.2 2.56 7.08621772880785
"202" "cole079" 1.12 "cole" -3.2 2.56 19.7813440226062
"203" "cole080" 0.825 "cole" -3.2 2.56 9.04440010158654
"204" "cole081" 0.2675 "cole" -3.2 2.56 0.506065290044931
"205" "cole082" 1.94 "cole" -3.2 2.56 80.7290954843856
"206" "cole083" 1.17 "cole" -3.2 2.56 22.1214435620994
"207" "cole084" 1.1 "cole" -3.2 2.56 18.8896074103839
"208" "cole085" 0.63 "cole" -3.2 2.56 4.53491827065113
"209" "cole086" 0.45 "cole" -3.2 2.56 1.9163802798097
"210" "cole087" 0.91 "cole" -3.2 2.56 11.6252853640626
"211" "cole088" 0.98 "cole" -3.2 2.56 14.0538855244792
"212" "cole089" 0.53 "cole" -3.2 2.56 2.91342527850435
"213" "cole090" 0.43 "cole" -3.2 2.56 1.70583454144854
"214" "cole091" 0.553636363636364 "cole" -3.2 2.56 3.25771174077171
"215" "cole092" 0.67 "cole" -3.2 2.56 5.30895632821068
"216" "cole093" 0.39 "cole" -3.2 2.56 1.32856574883873
"217" "cole095" 0.53 "cole" -3.2 2.56 2.91342527850435
"218" "cole096" 0.47 "cole" -3.2 2.56 2.14204294814625
"219" "cole097" 0.82 "cole" -3.2 2.56 8.90473746835286
"220" "cole098" 1.4 "cole" -3.2 2.56 35.0223617218794
"221" "cole099" 1.22 "cole" -3.2 2.56 24.6228786327127
"222" "cole100" 0.715 "cole" -3.2 2.56 6.27019611940207
"223" "cole101" 1 "cole" -3.2 2.56 14.7998617286073
"224" "cole103" 0.82 "cole" -3.2 2.56 8.90473746835286
"225" "cole104" 0.71 "cole" -3.2 2.56 6.15855792565528
"226" "cole105" 0.31 "cole" -3.2 2.56 0.738148249419751
"227" "cole106" 0.3 "cole" -3.2 2.56 0.678715972892107
"228" "cole107" 0.32 "cole" -3.2 2.56 0.800647961800855
"229" "cole108" 0.45 "cole" -3.2 2.56 1.9163802798097
"230" "cole112" 2.09166666666667 "cole" -3.2 2.56 97.8855070937318
"231" "cole113" 3.1 "cole" -3.2 2.56 268.005430531279
"232" "cole114" 1.40769230769231 "cole" -3.2 2.56 35.5170973548905
"233" "cole115" 1.69 "cole" -3.2 2.56 56.7084297282132
"234" "cole116" 0.825 "cole" -3.2 2.56 9.04440010158654
"235" "cole117" 1.31 "cole" -3.2 2.56 29.5441959299559
"236" "cole118" 0.9815 "cole" -3.2 2.56 14.1090195741876
"237" "cole119" 0.8075 "cole" -3.2 2.56 8.56135562411754
"238" "cole120" 1.18666666666667 "cole" -3.2 2.56 22.9371386938984
"239" "cole121" 1.46 "cole" -3.2 2.56 38.9942856464584
"240" "cole122" 1.182 "cole" -3.2 2.56 22.7069287834304
"241" "cole123" 1.2 "cole" -3.2 2.56 23.6026979038446
"242" "cole124" 0.8385 "cole" -3.2 2.56 9.42812885175898
"243" "cole125" 1.06 "cole" -3.2 2.56 17.1806928199069
"244" "cole126" 1.00545454545455 "cole" -3.2 2.56 15.0074017545961
"245" "cole127" 0.996 "cole" -3.2 2.56 14.648783629121
"246" "cole128" 0.813333333333333 "cole" -3.2 2.56 8.72057660093716
"247" "cole129" 1.06 "cole" -3.2 2.56 17.1806928199069
"248" "cole130" 1.945 "cole" -3.2 2.56 81.2628123601948
"249" "cole131" 2.26666666666667 "cole" -3.2 2.56 120.240303103268
"250" "cole132" 3.375 "cole" -3.2 2.56 333.149010321731
"251" "cole133" 2.3 "cole" -3.2 2.56 124.819063013819
"252" "cole134" 1.44 "cole" -3.2 2.56 37.6413887207697
"253" "cole135" 0.77 "cole" -3.2 2.56 7.58008218452159
"254" "cole136" 1.36 "cole" -3.2 2.56 32.5175085671845
"255" "cole137" 0.775 "cole" -3.2 2.56 7.70672773360267
"256" "cole138" 1.03 "cole" -3.2 2.56 15.9632366934688
"257" "cole139" 0.84 "cole" -3.2 2.56 9.47136623862431
"258" "cole140" 2.8 "cole" -3.2 2.56 206.529559213604
"259" "cole141" 1.24 "cole" -3.2 2.56 25.6694859634248
"260" "cole142" 0.74 "cole" -3.2 2.56 6.84685073975881
"261" "cole143" 0.51 "cole" -3.2 2.56 2.64020293021438
"262" "cole145" 0.64 "cole" -3.2 2.56 4.72148257587945
"263" "cole146" 0.69 "cole" -3.2 2.56 5.72415427538438
"264" "cole147" 0.33 "cole" -3.2 2.56 0.866270138612647
"265" "cole148" 1.08 "cole" -3.2 2.56 18.0228086573594
"266" "cole149" 0.58 "cole" -3.2 2.56 3.66972331763419
"267" "cole150" 1.01 "cole" -3.2 2.56 15.1816989356402
"268" "cole151" 0.92 "cole" -3.2 2.56 11.9551353106896
"269" "cole152" 0.79 "cole" -3.2 2.56 8.09436923887195
"270" "hemi001" 0.95775 "hemi" -3.01 2.59 17.1481275649485
"271" "hemi002" 0.99925 "hemi" -3.01 2.59 19.1394598007963
"272" "hemi003" 0.891 "hemi" -3.01 2.59 14.2218751879758
"273" "hemi004" 1.55714285714286 "hemi" -3.01 2.59 60.3815581043585
"274" "hemi005" 1.86666666666667 "hemi" -3.01 2.59 96.5687366191492
"275" "hemi006" 0.48 "hemi" -3.01 2.59 2.86542083416912
"276" "hemi007" 0.466666666666667 "hemi" -3.01 2.59 2.66379728630394
"277" "hemi008" 0.37625 "hemi" -3.01 2.59 1.52495759313779
"278" "hemi009" 0.33675 "hemi" -3.01 2.59 1.14419568298832
"279" "hemi010" 0.423 "hemi" -3.01 2.59 2.06535714291039
"280" "hemi011" 0.705 "hemi" -3.01 2.59 7.75502893354111
"281" "hemi012" 0.6315 "hemi" -3.01 2.59 5.83096720239854
"282" "hemi013" 1.1 "hemi" -3.01 2.59 24.5459962781508
"283" "hemi014" 0.8265 "hemi" -3.01 2.59 11.706649386448
"284" "hemi015" 1.3 "hemi" -3.01 2.59 37.8344035616122
"285" "hemi016" 0.505555555555556 "hemi" -3.01 2.59 3.27744209453254
"286" "hemi017" 0.617 "hemi" -3.01 2.59 5.4905036465177
"287" "hemi018" 0.741 "hemi" -3.01 2.59 8.82272551692584
"288" "hemi019" 0.881 "hemi" -3.01 2.59 13.8121476502101
"289" "hemi020" 1.72222222222222 "hemi" -3.01 2.59 78.3871019219208
"290" "hemi021" 2.2 "hemi" -3.01 2.59 147.791124238602
