"morph" "nospec" "r_cm_size"
"303" "aran011" 11 0.5
"304" "aran011" 12 0.71
"305" "aran011" 13 0.61
"306" "aran011" 14 0.265
"307" "aran011" 15 0.48
"308" "aran011" 16 0.57
"309" "aran011" 17 0.55
"310" "aran011" 18 0.57
"311" "aran011" 19 0.75
"312" "aran011" 20 0.55
"313" "aran012" 1 0.59
"314" "aran012" 2 0.415
"315" "aran012" 3 0.37
"316" "aran012" 4 0.495
"317" "aran012" 5 0.4
"318" "aran012" 6 0.235
"319" "aran012" 7 0.24
"320" "aran012" 8 0.34
"321" "aran012" 9 0.54
"322" "aran012" 10 0.37
"323" "aran013" 1 0.85
"324" "aran013" 2 0.88
"325" "aran013" 3 0.91
"326" "aran013" 4 1
"327" "aran013" 5 1.1
"328" "aran013" 6 0.95
"329" "aran013" 7 0.7
"330" "aran013" 8 0.98
"331" "aran013" 9 1
"332" "aran014" 1 0.8
"333" "aran014" 2 0.75
"334" "aran014" 3 0.84
"335" "aran014" 4 0.8
"336" "aran014" 5 0.84
"337" "aran014" 6 0.85
"338" "aran014" 7 0.83
"339" "aran014" 8 0.8
"340" "aran014" 9 0.9
"341" "aran014" 10 0.78
"342" "aran014" 11 0.83
"343" "aran014" 12 0.77
"344" "aran014" 13 0.72
"345" "aran014" 14 0.87
"346" "aran014" 15 0.85
"347" "aran014" 16 0.75
"348" "aran014" 17 0.79
"349" "aran014" 18 0.97
"350" "aran014" 19 0.91
"351" "aran014" 20 0.87
"352" "aran015" 1 0.35
"353" "aran015" 2 0.235
"354" "aran015" 3 0.28
"355" "aran015" 4 0.355
"356" "aran015" 5 0.245
"357" "aran015" 6 0.28
"358" "aran015" 7 0.415
"359" "aran015" 8 0.37
"360" "aran015" 9 0.33
"361" "aran015" 10 0.43
"362" "aran015" 11 0.305
"363" "aran015" 12 0.29
"364" "aran015" 13 0.34
"365" "aran015" 14 0.425
"366" "aran015" 15 0.28
"367" "aran015" 16 0.38
"368" "aran015" 17 0.34
"369" "aran015" 18 0.32
"370" "aran015" 19 0.285
"371" "aran015" 20 0.22
"372" "aran016" 1 0.56
"373" "aran016" 2 0.6
"374" "aran016" 3 0.59
"375" "aran016" 4 0.47
"376" "aran016" 5 0.42
"377" "aran016" 6 0.465
"378" "aran016" 7 0.72
"379" "aran016" 8 0.56
"380" "aran016" 9 0.65
"381" "aran016" 10 0.54
"382" "aran016" 11 0.42
"383" "aran016" 12 0.63
"384" "aran016" 13 0.44
"385" "aran017" 1 0.77
"386" "aran017" 2 0.58
"387" "aran017" 3 0.53
"388" "aran017" 4 1.02
"389" "aran017" 5 0.56
"390" "aran017" 6 0.54
"391" "aran017" 7 0.4
"392" "aran017" 8 0.48
"393" "aran017" 9 0.73
"394" "aran018" 1 0.325
"395" "aran018" 2 0.72
"396" "aran018" 3 0.335
"397" "aran018" 4 0.225
"398" "aran018" 5 0.305
"399" "aran018" 6 0.57
"400" "aran018" 7 0.66
"401" "aran018" 8 0.365
"402" "aran019" 1 0.445
"403" "aran019" 2 0.335
"404" "aran019" 3 0.61
"405" "aran019" 4 0.6
"406" "aran019" 5 0.39
"407" "aran019" 6 0.385
"408" "aran019" 7 0.61
"409" "aran019" 8 0.36
"410" "aran019" 9 0.61
"411" "aran019" 10 0.38
