"morph" "nospec" "r_cm_size"
"1778" "hemi059" 10 0.43
"1779" "hemi059" 11 0.46
"1780" "hemi060" 1 2.5
"1781" "hemi060" 2 2.1
"1782" "hemi061" 1 0.76
"1783" "hemi061" 2 0.94
"1784" "hemi061" 3 0.72
"1785" "hemi061" 4 0.76
"1786" "hemi061" 5 0.82
"1787" "hemi061" 6 0.98
"1788" "hemi061" 7 0.79
"1789" "hemi061" 8 1.02
"1790" "hemi061" 9 0.52
"1791" "hemi061" 10 0.68
"1792" "hemi061" 11 0.49
"1793" "hemi061" 12 0.53
"1794" "hemi061" 13 1.2
"1795" "hemi061" 14 0.79
"1796" "hemi062" 1 1.1
"1797" "hemi062" 2 1.2
"1798" "hemi063" 1 0.92
"1799" "hemi063" 2 0.88
"1800" "hemi064" 1 0.4
"1801" "hemi065" 1 1.4
"1802" "hemi066" 1 1.8
"1803" "hemi066" 2 1.9
"1804" "hemi067" 1 1.5
"1805" "hemi068" 1 1.02
"1806" "hemi068" 2 0.93
"1807" "hemi069" 1 1.03
"1808" "hemi070" 1 0.85
"1809" "hemi071" 1 0.85
"1810" "hemi072" 1 1.1
"1811" "hemi072" 2 1.1
"1812" "hemi072" 3 1.2
"1813" "hemi072" 4 1.2
"1814" "hemi073" 1 0.405
"1815" "hemi073" 2 0.44
"1816" "hemi074" 1 1.5
"1817" "hemi075" 1 1.5
"1818" "hemi076" 1 1.6
"1819" "hemi076" 2 1.6
"1820" "hemi076" 3 1.5
"1821" "hemi077" 1 0.96
"1822" "hemi077" 2 0.98
"1823" "hemi077" 3 0.99
"1824" "hemi078" 1 0.8
"1825" "hemi078" 2 0.92
"1826" "hemi078" 3 0.82
"1827" "hemi078" 4 0.74
"1828" "hemi078" 5 0.84
"1829" "hemi079" 1 2.3
"1830" "hemi079" 2 1.9
"1831" "hemi080" 1 1.7
"1832" "hemi081" 1 0.45
"1833" "hemi081" 2 0.47
"1834" "hemi081" 3 0.59
"1835" "hemi081" 4 0.55
"1836" "hemi081" 5 0.52
"1837" "hemi081" 6 0.59
"1838" "hemi081" 7 0.445
"1839" "hemi081" 8 0.49
"1840" "hemi081" 9 0.43
"1841" "hemi081" 10 0.495
"1842" "hemi081" 11 0.54
"1843" "hemi081" 12 0.44
"1844" "hemi081" 13 0.53
"1845" "hemi081" 14 0.51
"1846" "hemi081" 15 0.58
"1847" "hemi081" 16 0.64
"1848" "hemi081" 17 0.42
"1849" "hemi081" 18 0.395
"1850" "hemi081" 19 0.325
"1851" "hemi081" 20 0.28
"1852" "hemi082" 1 0.38
"1853" "hemi082" 2 0.28
"1854" "hemi083" 1 0.74
"1855" "hemi083" 2 0.52
"1856" "hemi083" 3 0.75
"1857" "hemi083" 4 0.57
"1858" "hemi084" 1 0.465
"1859" "hemi085" 1 1.4
"1860" "hemi086" 1 1.4
"1861" "hemi086" 2 1.1
"1862" "hemi086" 3 0.95
"1863" "hemi087" 1 0.69
"1864" "hemi087" 2 0.67
"1865" "hemi088" 1 1.7
"1866" "hemi089" 1 0.94
"1867" "hemi090" 1 0.95
"1868" "hemi091" 1 0.455
"1869" "hemi092" 1 0.68
"1870" "hemi092" 2 0.73
"1871" "hemi093" 1 0.46
"1872" "hemi094" 1 0.42
"1873" "hemi094" 2 0.465
"1874" "hemi094" 3 0.455
"1875" "hemi094" 4 0.5
"1876" "hemi094" 5 0.495
"1877" "hemi094" 6 0.48
"1878" "hemi094" 7 0.47
"1879" "hemi094" 8 0.465
"1880" "hemi094" 9 0.44
"1881" "hemi094" 10 0.425
"1882" "hemi094" 11 0.48
"1883" "hemi094" 12 0.46
"1884" "hemi094" 13 0.465
"1885" "hemi094" 14 0.44
"1886" "hemi094" 15 0.485
"1887" "hemi094" 16 0.46
"1888" "hemi094" 17 0.42
"1889" "hemi094" 18 0.485
"1890" "hemi094" 19 0.49
"1891" "hemi094" 20 0.445
"1892" "homo001" 1 0.63
"1893" "homo001" 2 0.53
"1894" "homo001" 3 0.83
"1895" "homo001" 4 0.73
"1896" "homo001" 5 0.76
"1897" "homo001" 6 0.74
"1898" "homo001" 7 0.65
"1899" "homo001" 8 0.76
"1900" "homo001" 9 0.67
"1901" "homo001" 10 0.7
"1902" "homo001" 11 0.55
"1903" "homo001" 12 0.59
"1904" "homo001" 13 0.74
"1905" "homo001" 14 0.7
"1906" "homo001" 15 0.77
"1907" "homo001" 16 0.55
"1908" "homo001" 17 0.72
"1909" "homo001" 18 0.71
"1910" "homo001" 19 0.51
"1911" "homo001" 20 0.74
"1912" "homo002" 1 0.59
"1913" "homo002" 2 0.59
"1914" "homo002" 3 0.6
"1915" "homo002" 4 0.58
"1916" "homo002" 5 0.56
"1917" "homo002" 6 0.58
"1918" "homo002" 7 0.61
"1919" "homo002" 8 0.54
"1920" "homo002" 9 0.58
"1921" "homo002" 10 0.55
"1922" "homo002" 11 0.61
"1923" "homo002" 12 0.54
"1924" "homo002" 13 0.57
"1925" "homo002" 14 0.66
"1926" "homo002" 15 0.6
"1927" "homo002" 16 0.55
"1928" "homo002" 17 0.65
"1929" "homo002" 18 0.59
"1930" "homo002" 19 0.52
"1931" "homo002" 20 0.63
"1932" "homo003" 1 0.53
"1933" "homo003" 2 0.5
"1934" "homo003" 3 0.48
"1935" "homo003" 4 0.425
"1936" "homo003" 5 0.54
"1937" "homo003" 6 0.51
"1938" "homo003" 7 0.54
"1939" "homo003" 8 0.56
"1940" "homo003" 9 0.49
"1941" "homo003" 10 0.5
"1942" "homo003" 11 0.42
"1943" "homo003" 12 0.435
"1944" "homo003" 13 0.41
"1945" "homo003" 14 0.48
"1946" "homo003" 15 0.55
"1947" "homo003" 16 0.55
"1948" "homo003" 17 0.53
"1949" "homo003" 18 0.54
"1950" "homo003" 19 0.455
"1951" "homo003" 20 0.49
"1952" "homo004" 1 0.76
"1953" "homo004" 2 0.76
"1954" "homo004" 3 0.7
"1955" "homo004" 4 0.85
"1956" "homo004" 5 0.69
"1957" "homo004" 6 0.72
"1958" "homo004" 7 0.69
"1959" "homo004" 8 0.74
"1960" "homo004" 9 0.82
"1961" "homo004" 10 0.81
"1962" "homo004" 11 0.79
"1963" "homo004" 12 0.76
"1964" "homo004" 13 0.73
"1965" "homo004" 14 0.71
"1966" "homo004" 15 0.91
"1967" "homo004" 16 0.7
"1968" "homo004" 17 0.71
"1969" "homo004" 18 0.72
"1970" "homo004" 19 0.81
"1971" "homo004" 20 0.73
"1972" "homo005" 1 0.58
"1973" "homo005" 2 0.75
"1974" "homo005" 3 0.74
"1975" "homo005" 4 0.76
"1976" "homo005" 5 0.67
"1977" "homo005" 6 0.75
"1978" "homo005" 7 0.64
"1979" "homo005" 8 0.76
"1980" "homo005" 9 0.61
"1981" "homo005" 10 0.52
"1982" "homo005" 11 0.78
"1983" "homo005" 12 0.76
"1984" "homo005" 13 0.76
"1985" "homo005" 14 0.57
"1986" "homo005" 15 0.71
"1987" "homo005" 16 0.59
"1988" "homo005" 17 0.77
"1989" "homo005" 18 0.78
"1990" "homo005" 19 0.64
"1991" "homo005" 20 0.7
"1992" "homo006" 1 0.49
"1993" "homo006" 2 0.54
"1994" "homo006" 3 0.52
"1995" "homo006" 4 0.51
"1996" "homo006" 5 0.52
"1997" "homo006" 6 0.54
"1998" "homo006" 7 0.52
"1999" "homo006" 8 0.59
"2000" "homo006" 9 0.53
"2001" "homo006" 10 0.53
"2002" "homo006" 11 0.52
"2003" "homo006" 12 0.51
"2004" "homo006" 13 0.52
"2005" "homo006" 14 0.54
"2006" "homo006" 15 0.6
"2007" "homo006" 16 0.46
"2008" "homo006" 17 0.54
"2009" "homo006" 18 0.52
"2010" "homo006" 19 0.55
"2011" "homo006" 20 0.5
"2012" "homo007" 1 0.63
"2013" "homo007" 2 0.56
"2014" "homo007" 3 0.59
"2015" "homo007" 4 0.6
"2016" "homo008" 1 0.99
"2017" "homo008" 2 0.97
"2018" "homo008" 3 0.92
"2019" "homo008" 4 0.92
"2020" "homo008" 5 1.1
"2021" "homo008" 6 0.95
"2022" "homo008" 7 1.2
"2023" "homo008" 8 0.64
"2024" "homo008" 9 0.86
"2025" "homo008" 10 1
"2026" "homo008" 11 1.1
"2027" "homo008" 12 1.2
"2028" "homo008" 13 0.91
"2029" "homo008" 14 0.91
"2030" "homo008" 15 0.76
"2031" "homo008" 16 1.1
"2032" "homo008" 17 0.87
"2033" "homo008" 18 0.88
"2034" "homo008" 19 0.91
"2035" "homo008" 20 0.96
"2036" "homo009" 1 0.56
"2037" "homo009" 2 0.54
"2038" "homo009" 3 0.7
"2039" "homo009" 4 0.65
"2040" "homo009" 5 0.7
"2041" "homo009" 6 0.71
"2042" "homo009" 7 0.66
"2043" "homo009" 8 0.65
"2044" "homo009" 9 0.62
"2045" "homo009" 10 0.6
"2046" "homo009" 11 0.67
"2047" "homo009" 12 0.65
"2048" "homo009" 13 0.75
"2049" "homo009" 14 0.6
"2050" "homo009" 15 0.55
"2051" "homo009" 16 0.58
"2052" "homo009" 17 0.54
"2053" "homo009" 18 0.61
"2054" "homo009" 19 0.69
"2055" "homo009" 20 0.57
"2056" "homo010" 1 0.64
"2057" "homo010" 2 0.64
"2058" "homo011" 1 0.53
"2059" "homo011" 2 0.51
"2060" "homo011" 3 0.49
"2061" "homo011" 4 0.6
"2062" "homo011" 5 0.4
"2063" "homo011" 6 0.485
"2064" "homo011" 7 0.6
"2065" "homo011" 8 0.41
"2066" "homo011" 9 0.5
"2067" "homo011" 10 0.445
"2068" "homo011" 11 0.55
"2069" "homo011" 12 0.48
"2070" "homo011" 13 0.475
"2071" "homo011" 14 0.465
"2072" "homo011" 15 0.59
"2073" "homo011" 16 0.6
"2074" "homo011" 17 0.61
"2075" "homo011" 18 0.67
"2076" "homo011" 19 0.56
"2077" "homo011" 20 0.53
"2078" "homo012" 1 0.88
"2079" "homo012" 2 0.92
"2080" "homo012" 3 0.48
"2081" "homo012" 4 0.84
"2082" "homo012" 5 0.9
"2083" "homo012" 6 0.82
"2084" "homo012" 7 0.87
"2085" "homo012" 8 0.82
"2086" "homo012" 9 0.54
"2087" "homo012" 10 0.89
"2088" "homo012" 11 0.86
"2089" "homo012" 12 0.75
"2090" "homo012" 13 0.8
"2091" "homo012" 14 0.86
"2092" "homo012" 15 0.89
"2093" "homo012" 16 0.82
"2094" "homo012" 17 0.89
"2095" "homo012" 18 0.71
"2096" "homo012" 19 0.88
"2097" "homo012" 20 0.78
"2098" "homo013" 1 0.73
"2099" "homo013" 2 0.7
"2100" "homo013" 3 0.7
"2101" "homo013" 4 0.72
"2102" "homo013" 5 0.67
"2103" "homo013" 6 0.74
"2104" "homo013" 7 0.8
"2105" "homo013" 8 0.64
"2106" "homo013" 9 0.71
"2107" "homo013" 10 0.75
"2108" "homo014" 1 0.78
"2109" "homo014" 2 0.81
"2110" "homo015" 1 0.99
"2111" "homo016" 1 0.69
"2112" "homo016" 2 0.69
"2113" "homo016" 3 0.68
"2114" "homo016" 4 0.6
"2115" "homo016" 5 0.73
"2116" "homo016" 6 0.71
"2117" "homo016" 7 0.71
"2118" "homo016" 8 0.52
"2119" "homo016" 9 0.8
"2120" "homo016" 10 0.63
"2121" "homo016" 11 0.67
"2122" "homo016" 12 0.76
"2123" "homo016" 13 0.8
"2124" "homo016" 14 0.66
"2125" "homo017" 1 0.6
"2126" "homo017" 2 0.77
"2127" "homo017" 3 0.77
"2128" "homo018" 1 0.57
"2129" "homo018" 2 0.54
"2130" "homo019" 1 0.71
"2131" "homo019" 2 0.8
"2132" "homo020" 1 0.82
"2133" "homo020" 2 0.76
"2134" "homo021" 1 0.51
"2135" "homo021" 2 0.5
"2136" "homo021" 3 0.455
"2137" "homo021" 4 0.54
"2138" "homo021" 5 0.52
"2139" "homo021" 6 0.5
"2140" "homo021" 7 0.46
"2141" "homo021" 8 0.47
"2142" "homo021" 9 0.475
"2143" "homo021" 10 0.52
"2144" "homo021" 11 0.52
"2145" "homo021" 12 0.49
"2146" "homo021" 13 0.49
"2147" "homo021" 14 0.6
"2148" "homo021" 15 0.47
"2149" "homo021" 16 0.485
"2150" "homo022" 1 0.61
"2151" "homo023" 1 0.48
"2152" "homo023" 2 0.56
"2153" "homo024" 1 0.39
"2154" "homo025" 1 0.6
"2155" "lepi001" 1 0.42
"2156" "lepi001" 2 0.55
"2157" "lepi002" 1 0.57
"2158" "lepi002" 2 0.67
"2159" "lepi003" 1 0.98
"2160" "lepi003" 2 1.5
"2161" "lepi003" 3 1.04
"2162" "lepi003" 4 1.66
"2163" "lepi004" 1 1.26
"2164" "lepi004" 2 1
"2165" "lepi004" 3 0.98
"2166" "lepi004" 4 0.74
"2167" "lepi004" 5 1.36
"2168" "lepi004" 6 1.58
"2169" "lepi004" 7 1.6
"2170" "lepi004" 8 1
"2171" "lepi004" 9 0.84
"2172" "lepi004" 10 0.55
"2173" "lepi004" 11 0.43
"2174" "lepi004" 12 0.7
"2175" "lepi004" 13 0.95
"2176" "lepi004" 14 0.96
"2177" "lepi004" 15 1.1
"2178" "lepi004" 16 0.68
"2179" "lepi004" 17 0.72
"2180" "lepi004" 18 0.57
"2181" "lepi004" 19 0.86
"2182" "lepi004" 20 0.59
"2183" "lepi005" 1 1.9
"2184" "lepi005" 2 0.74
"2185" "lepi005" 3 1
"2186" "lepi005" 4 0.5
"2187" "lepi005" 5 2
"2188" "lepi005" 6 2.1
"2189" "lepi005" 7 1.96
"2190" "lepi005" 8 1.54
"2191" "lepi005" 9 1.64
"2192" "lepi005" 10 2.1
"2193" "lepi005" 11 1.9
"2194" "lepi005" 12 1.7
"2195" "lepi005" 13 0.9
"2196" "lepi005" 14 2.1
"2197" "lepi005" 15 1.3
"2198" "lepi005" 16 1.3
"2199" "lepi005" 17 1.78
"2200" "lepi005" 18 1.18
"2201" "lepi005" 19 1.22
"2202" "lepi005" 20 0.85
"2203" "lepi006" 1 4.2
"2204" "lepi006" 2 1.44
"2205" "lepi007" 1 1.52
"2206" "lepi007" 2 1.8
"2207" "lepi007" 3 1.04
"2208" "lepi007" 4 1.2
"2209" "lepi007" 5 1.36
"2210" "lepi007" 6 0.9
"2211" "lepi007" 7 1.16
"2212" "lepi007" 8 1.16
"2213" "lepi007" 9 1.08
"2214" "lepi007" 10 1.12
"2215" "lepi007" 11 1.5
"2216" "lepi007" 12 0.82
"2217" "lepi007" 13 1.36
"2218" "lepi007" 14 1.14
"2219" "lepi007" 15 1.78
"2220" "lepi007" 16 1.82
"2221" "lepi007" 17 2.02
"2222" "lepi007" 18 1.76
"2223" "lepi007" 19 1.5
"2224" "lepi007" 20 1.52
"2225" "lepi008" 1 1.38
"2226" "lepi008" 2 1.2
"2227" "lepi008" 3 0.75
"2228" "lepi008" 4 0.7
"2229" "lepi008" 5 0.83
"2230" "lepi008" 6 0.6
"2231" "lepi008" 7 1.12
"2232" "lepi008" 8 1.5
"2233" "lepi008" 9 1.56
"2234" "lepi008" 10 1.22
"2235" "lepi008" 11 1.92
"2236" "lepi008" 12 1.66
"2237" "lepi008" 13 2.1
"2238" "lepi008" 14 1.58
"2239" "lepi008" 15 1.56
"2240" "lepi008" 16 0.66
"2241" "lepi008" 17 0.81
"2242" "lepi008" 18 0.79
"2243" "lepi008" 19 1.05
"2244" "lepi008" 20 0.85
"2245" "lepi009" 1 3.6
"2246" "lepi009" 2 3
"2247" "lepi009" 3 2.2
"2248" "lepi009" 4 2.3
"2249" "lepi009" 5 1.7
"2250" "lepi009" 6 2.2
"2251" "lepi009" 7 2.4
"2252" "lepi009" 8 1.5
"2253" "lepi009" 9 2.4
"2254" "lepi009" 10 2.2
"2255" "lepi009" 11 1.5
"2256" "lepi009" 12 2.3
"2257" "lepi009" 13 2.5
"2258" "lepi009" 14 2.2
"2259" "lepi009" 15 2.1
"2260" "lepi009" 16 1.5
"2261" "lepi009" 17 1.4
"2262" "lepi009" 18 1.8
"2263" "lepi009" 19 2.6
"2264" "lepi009" 20 1.9
"2265" "lepi010" 1 1.8
"2266" "lepi010" 2 1.08
"2267" "lepi010" 3 1.5
"2268" "lepi010" 4 1.78
"2269" "lepi010" 5 1.44
"2270" "lepi010" 6 1.2
"2271" "lepi010" 7 1.34
"2272" "lepi010" 8 2.1
"2273" "lepi010" 9 1
"2274" "lepi010" 10 1
"2275" "lepi010" 11 0.9
"2276" "lepi010" 12 2.1
"2277" "lepi010" 13 1.8
"2278" "lepi010" 14 1.16
"2279" "lepi010" 15 1.7
"2280" "lepi010" 16 1.7
"2281" "lepi010" 17 1.3
"2282" "lepi010" 18 1.1
"2283" "lepi010" 19 1.66
"2284" "lepi011" 1 2.5
"2285" "lepi011" 2 2
"2286" "lepi011" 3 1.9
"2287" "lepi011" 4 2.1
"2288" "lepi011" 5 1.66
"2289" "lepi011" 6 1.84
"2290" "lepi011" 7 2.2
"2291" "lepi011" 8 0.75
"2292" "lepi011" 9 0.8
"2293" "lepi011" 10 1.74
"2294" "lepi011" 11 0.62
"2295" "lepi011" 12 0.84
"2296" "lepi011" 13 1.9
"2297" "lepi011" 14 1.22
"2298" "lepi011" 15 0.9
"2299" "lepi011" 16 1.1
"2300" "lepi011" 17 1.48
"2301" "lepi011" 18 0.82
"2302" "lepi011" 19 0.64
"2303" "lepi011" 20 1.12
"2304" "lepi012" 1 1.56
"2305" "lepi012" 2 2.1
"2306" "lepi012" 3 3.9
"2307" "lepi012" 4 1.9
"2308" "lepi014" 1 1.78
"2309" "lepi014" 2 1.44
"2310" "lepi014" 3 1.62
"2311" "lepi015" 1 2.3
"2312" "lepi015" 2 2.5
"2313" "lepi015" 3 3.55
"2314" "lepi015" 4 2.25
"2315" "lepi016" 1 1.4
"2316" "lepi016" 2 2.15
"2317" "lepi016" 3 1.04
"2318" "lepi016" 4 2.4
"2319" "lepi016" 5 2.2
"2320" "lepi016" 6 2.8
"2321" "lepi016" 7 2.2
"2322" "lepi016" 8 3.2
"2323" "lepi016" 9 1.5
"2324" "lepi016" 10 2.7
"2325" "lepi016" 11 2.3
"2326" "lepi016" 12 3.2
"2327" "lepi016" 13 2.3
"2328" "lepi016" 14 2.4
"2329" "lepi016" 15 2.3
"2330" "lepi016" 16 3.8
"2331" "lepi016" 17 1.56
"2332" "lepi016" 18 2.7
"2333" "lepi016" 19 3.1
"2334" "lepi016" 20 1.26
"2335" "lepi017" 1 1.04
"2336" "lepi019" 1 0.95
"2337" "lepi019" 2 0.58
"2338" "lepi019" 3 0.75
"2339" "lepi019" 4 0.8
"2340" "lepi019" 5 0.75
"2341" "lepi019" 6 0.88
"2342" "lepi019" 7 0.88
"2343" "lepi019" 8 1
"2344" "lepi019" 9 0.57
"2345" "lepi019" 10 0.65
"2346" "lepi019" 11 0.55
"2347" "lepi019" 12 0.4
"2348" "lepi019" 13 0.43
"2349" "lepi019" 14 1.16
"2350" "lepi019" 15 1.24
"2351" "lepi019" 16 1.1
"2352" "lepi019" 17 1.34
"2353" "lepi019" 18 1.14
"2354" "lepi019" 19 1.06
"2355" "lepi019" 20 1.16
"2356" "lepi020" 1 0.66
"2357" "lepi020" 2 0.94
"2358" "lepi020" 3 1
"2359" "lepi020" 4 3.1
"2360" "lepi020" 5 3.4
"2361" "lepi020" 6 1.16
"2362" "lepi020" 7 2.3
"2363" "lepi020" 8 2.1
"2364" "lepi020" 9 0.76
"2365" "lepi020" 10 1
"2366" "lepi021" 1 1.24
"2367" "lepi021" 2 1.06
"2368" "lepi021" 3 1.14
"2369" "lepi021" 4 1.2
"2370" "lepi021" 5 1.3
"2371" "lepi021" 6 1.32
"2372" "lepi021" 7 1.16
"2373" "lepi021" 8 1.16
"2374" "lepi021" 9 1.14
"2375" "lepi021" 10 0.98
"2376" "lepi021" 11 1.1
"2377" "lepi021" 12 1.08
"2378" "lepi021" 13 1.14
"2379" "lepi021" 14 1.16
"2380" "lepi021" 15 0.82
"2381" "lepi021" 16 1.06
"2382" "lepi021" 17 1.1
"2383" "lepi021" 18 1.12
"2384" "lepi021" 19 1.16
"2385" "lepi021" 20 1.16
"2386" "lepi022" 1 0.9
"2387" "lepi022" 2 1
"2388" "lepi022" 3 1.26
"2389" "lepi023" 1 1.2
"2390" "lepi023" 2 1.02
"2391" "lepi023" 3 0.78
"2392" "lepi023" 4 1.2
"2393" "lepi023" 5 0.86
"2394" "lepi023" 6 0.88
"2395" "lepi023" 7 0.68
"2396" "lepi023" 8 1.04
"2397" "lepi023" 9 0.72
"2398" "lepi023" 10 0.6
"2399" "lepi024" 1 0.94
"2400" "lepi024" 2 0.86
"2401" "lepi024" 3 0.94
"2402" "lepi024" 4 0.72
"2403" "lepi024" 5 1
"2404" "lepi024" 6 0.86
"2405" "lepi024" 7 0.8
"2406" "lepi024" 8 0.74
"2407" "lepi024" 9 0.8
"2408" "lepi024" 10 0.82
"2409" "lepi024" 11 1.12
"2410" "lepi025" 1 0.52
"2411" "lepi025" 2 0.57
"2412" "lepi025" 3 0.5
"2413" "lepi026" 1 4.5
"2414" "lepi027" 1 1.68
"2415" "lepi027" 2 1.08
"2416" "lepi027" 3 1.62
"2417" "lepi027" 4 1.6
"2418" "lepi027" 5 1.68
"2419" "lepi027" 6 1.56
"2420" "lepi027" 7 0.64
"2421" "lepi027" 8 1.36
"2422" "lepi027" 9 1.18
"2423" "lepi027" 10 1.78
"2424" "lepi027" 11 0.96
"2425" "lepi027" 12 2.3
"2426" "lepi027" 13 1.7
"2427" "lepi027" 14 0.8
"2428" "lepi027" 15 1.38
"2429" "lepi027" 16 1.76
"2430" "lepi027" 17 1.9
"2431" "lepi027" 18 1.92
"2432" "lepi027" 19 2.2
"2433" "lepi027" 20 2.1
"2434" "lepi028" 1 3.3
"2435" "lepi028" 2 2.2
"2436" "lepi028" 3 2.1
"2437" "lepi028" 4 3.1
"2438" "lepi028" 5 2
"2439" "lepi028" 6 1.26
"2440" "lepi028" 7 1.48
"2441" "lepi028" 8 3.2
"2442" "lepi028" 9 2.25
"2443" "lepi028" 10 2.2
"2444" "lepi028" 11 2.5
"2445" "lepi028" 12 1.1
"2446" "lepi028" 13 1.8
"2447" "lepi028" 14 1.2
"2448" "lepi029" 1 1.82
"2449" "lepi029" 2 3.4
"2450" "lepi029" 3 1.6
"2451" "lepi029" 4 0.79
"2452" "lepi029" 5 0.81
"2453" "lepi030" 1 0.44
"2454" "lepi030" 2 0.6
"2455" "lepi030" 3 0.45
"2456" "lepi030" 4 0.54
"2457" "lepi030" 5 0.74
"2458" "lepi030" 6 0.7
"2459" "lepi030" 7 0.73
"2460" "lepi030" 8 0.85
"2461" "lepi030" 9 0.87
"2462" "lepi030" 10 0.8
"2463" "lepi030" 11 0.8
"2464" "lepi031" 1 1.1
"2465" "lepi032" 1 0.65
"2466" "lepi032" 2 0.93
"2467" "lepi032" 3 0.87
"2468" "lepi032" 4 0.64
"2469" "lepi032" 5 1.25
"2470" "lepi032" 6 0.9
"2471" "lepi032" 7 1.03
"2472" "lepi032" 8 0.82
"2473" "lepi033" 1 2.9
"2474" "lepi034" 1 1.3
"2475" "lepi034" 2 1.2
"2476" "lepi034" 3 1.3
"2477" "lepi035" 1 3.1
"2478" "lepi035" 2 2.1
"2479" "lepi036" 1 0.73
"2480" "lepi036" 2 0.8
"2481" "lepi036" 3 0.88
"2482" "lepi036" 4 0.82
"2483" "lepi036" 5 0.82
"2484" "lepi036" 6 0.84
"2485" "lepi036" 7 0.86
"2486" "lepi036" 8 0.78
"2487" "lepi036" 9 0.86
"2488" "lepi036" 10 1.12
"2489" "lepi037" 1 1.3
"2490" "lepi037" 2 0.66
"2491" "lepi037" 3 0.88
"2492" "lepi037" 4 0.94
"2493" "lepi037" 5 1.08
"2494" "lepi037" 6 0.82
"2495" "lepi037" 7 1.2
"2496" "lepi037" 8 1.22
"2497" "lepi037" 9 1.18
"2498" "lepi037" 10 1
"2499" "lepi037" 11 1.08
"2500" "lepi037" 12 0.52
"2501" "lepi037" 13 1.58
"2502" "lepi037" 14 1.26
"2503" "lepi037" 15 1.16
"2504" "lepi037" 16 1.14
"2505" "lepi037" 17 0.86
"2506" "lepi037" 18 1.26
"2507" "lepi037" 19 0.92
"2508" "lepi037" 20 0.76
"2509" "lepi038" 1 2.5
"2510" "lepi038" 2 1.96
"2511" "lepi038" 3 2.6
"2512" "lepi038" 4 2.8
"2513" "lepi038" 5 1.7
"2514" "lepi039" 1 2.5
"2515" "lepi039" 2 1.4
"2516" "lepi039" 3 1.22
"2517" "lepi039" 4 1.24
"2518" "lepi039" 5 0.86
"2519" "lepi039" 6 0.96
"2520" "lepi039" 7 1.1
"2521" "lepi040" 1 1.9
"2522" "lepi040" 2 0.78
"2523" "lepi040" 3 1.74
"2524" "lepi040" 4 2.02
"2525" "lepi040" 5 1.26
"2526" "lepi040" 6 1.76
"2527" "lepi040" 7 1.82
"2528" "lepi040" 8 1.08
"2529" "lepi041" 1 1.74
"2530" "lepi041" 2 1.9
"2531" "lepi041" 3 1.72
"2532" "lepi041" 4 1.46
"2533" "lepi041" 5 2.3
"2534" "lepi041" 6 1.44
"2535" "lepi041" 7 1.96
"2536" "lepi041" 8 1.54
"2537" "lepi041" 9 1.52
"2538" "lepi041" 10 1.98
"2539" "lepi041" 11 1.86
"2540" "lepi041" 12 1.24
"2541" "lepi041" 13 1.26
"2542" "lepi041" 14 2.4
"2543" "lepi041" 15 1.24
"2544" "lepi041" 16 1.3
"2545" "lepi041" 17 1.6
"2546" "lepi041" 18 2.7
"2547" "lepi041" 19 1.64
"2548" "lepi041" 20 1.92
"2549" "lepi042" 1 1.54
"2550" "lepi042" 2 1.5
"2551" "lepi042" 3 1.46
"2552" "lepi042" 4 1.56
"2553" "lepi042" 5 1.26
"2554" "lepi042" 6 1.58
"2555" "lepi042" 7 1.7
"2556" "lepi042" 8 1.28
"2557" "lepi042" 9 1.7
"2558" "lepi042" 10 1.86
"2559" "lepi042" 11 1.54
"2560" "lepi042" 12 1.2
"2561" "lepi042" 13 1.48
"2562" "lepi042" 14 2.06
"2563" "lepi042" 15 1.32
"2564" "lepi042" 16 1.52
"2565" "lepi042" 17 1.06
"2566" "lepi042" 18 1.2
"2567" "lepi042" 19 1.66
"2568" "lepi042" 20 0.88
"2569" "lepi043" 1 0.93
"2570" "lepi043" 2 1.03
"2571" "lepi043" 3 0.92
"2572" "lepi043" 4 0.95
"2573" "lepi044" 1 2.4
"2574" "lepi044" 2 1.34
"2575" "lepi044" 3 0.6
"2576" "lepi044" 4 2.33
"2577" "lepi044" 5 1.12
"2578" "lepi045" 1 0.78
"2579" "lepi045" 2 0.7
"2580" "lepi045" 3 0.88
"2581" "lepi047" 1 0.9
"2582" "lepi047" 2 1.46
"2583" "lepi047" 3 0.66
"2584" "lepi048" 1 0.36
"2585" "lepi048" 2 0.26
"2586" "lepi049" 1 1.2
"2587" "lepi049" 2 1.16
"2588" "lepi049" 3 1.84
"2589" "lepi049" 4 1.4
"2590" "lepi049" 5 1.64
"2591" "lepi049" 6 1.68
"2592" "lepi049" 7 1.56
"2593" "lepi049" 8 1.6
"2594" "lepi049" 9 1.08
"2595" "lepi049" 10 1.56
"2596" "lepi049" 11 2.3
"2597" "lepi049" 12 0.95
"2598" "lepi049" 13 1.3
"2599" "lepi049" 14 1.1
"2600" "lepi049" 15 1.6
"2601" "lepi049" 16 0.98
"2602" "lepi049" 17 2.1
"2603" "lepi049" 18 1.34
"2604" "lepi049" 19 0.88
"2605" "lepi049" 20 1.7
"2606" "lepi050" 1 2.2
"2607" "lepi050" 2 2.4
"2608" "lepi050" 3 3.55
"2609" "lepi050" 4 3.25
"2610" "lepi050" 5 2.2
"2611" "lepi050" 6 3.4
"2612" "lepi050" 7 1.7
"2613" "lepi050" 8 1.98
"2614" "lepi050" 9 3.75
"2615" "lepi050" 10 3.8
"2616" "lepi050" 11 1.68
