morphotype,amount,plot,tree,date,adult/larvae
orth018,2,w1g6p5,melamu,7/11/2016,L
orth025,1,w1g6p5,melamu,7/11/2016,L
orth060,1,w1g1p3,tricpl,8/17/2016,A
orth061,1,w1g1p3,breyce,8/17/2016,A
orth027,1,w1g1p3,piptar,8/17/2016,A
orth003,1,w1g1p3,piptar,8/17/2016,A
orth020,2,w1g1p3,piptar,8/17/2016,L
orth028,1,w1g1p3,piptar,8/17/2016,L
orth046,1,w1g1p3,trems1,8/17/2016,L
orth035,1,w1g1p3,trems1,8/17/2016,L
orth013,2,w1g1p3,trems1,8/17/2016,L
orth062,1,w1g1p3,trems1,8/17/2016,L
orth037,1,w1g1p3,trems1,8/17/2016,L
orth020,9,w1g1p3,trems1,8/17/2016,L
orth003,2,w1g1p3,trems1,8/17/2016,A
orth024,1,w1g1p3,trems1,8/17/2016,A
orth063,1,w1g1p3,trems1,8/17/2016,A
orth064,1,w1g1p3,trems1,8/17/2016,A
orth065,1,w1g1p3,trems1,8/17/2016,A
orth005,1,w1g1p3,trems1,8/17/2016,L
orth028,5,w1g1p3,trems1,8/17/2016,L
orth050,3,w1g1p3,trems1,8/17/2016,L
orth043,1,w1g1p3,trems1,8/17/2016,L
orth031,2,w1g1p3,trems1,8/17/2016,L
orth015,3,w1g1p3,trems1,8/17/2016,L
orth066,2,w1g1p3,trems1,8/17/2016,L
orth054,6,w1g1p3,trems1,8/17/2016,L
orth016,5,w1g1p3,trems1,8/17/2016,L
orth067,2,w1g1p3,trems1,8/17/2016,L
orth068,2,w1g1p3,trems1,8/17/2016,L
orth015,4,w1g4p3,melos1,7/23/2016,L
orth019,1,w1g4p3,melos1,7/23/2016,L
orth031,1,w1g4p3,melos1,7/23/2016,L
orth069,1,w1g4p3,melos1,7/23/2016,A
orth016,1,w1g4p3,melos1,7/23/2016,L
orth050,1,w1g4p3,melos1,7/23/2016,L
orth018,1,w1g4p3,melos1,7/23/2016,L
orth019,1,w1g4p3,melamu,7/23/2016,L
orth003,1,w1g4p3,melamu,7/23/2016,A
orth024,1,w1g4p3,melamu,7/23/2016,A
orth024,2,w1g4p3,tricpl,7/23/2016,A
orth034,2,w1g4p3,tricpl,7/23/2016,L
orth015,1,w1g4p3,tricpl,7/23/2016,L
orth020,1,w1g3p2,humano,8/5/2016,L
orth070,4,w1g3p2,humano,8/5/2016,L
orth001,2,w1g3p2,ficucp,8/5/2016,L
orth028,2,w1g3p2,ficucp,8/5/2016,L
orth016,1,w1g3p2,ficucp,8/5/2016,L
orth020,3,w1g3p2,piptar,8/5/2016,L
orth027,1,w1g3p2,piptar,8/5/2016,A
orth046,1,w1g3p2,piptar,8/5/2016,L
orth065,1,w1g3p2,piptar,8/5/2016,A
orth071,5,w1g3p2,piptar,8/5/2016,L
orth012,1,w1g3p2,piptar,8/5/2016,L
orth042,2,w1g3p2,piptar,8/5/2016,L
orth008,1,w1g3p2,piptar,8/5/2016,L
orth040,1,w1g3p2,piptar,8/5/2016,A
orth032,1,w1g3p2,piptar,8/5/2016,A
orth018,1,w1g3p2,melamu,8/5/2016,L
