Morphotype,Nr. of specimen,Size,Scale,scl
lepi034,1,1.30,cm,1
lepi034,2,1.2,cm,1
lepi034,3,1.3,cm,1
lepi035,1,3.1,cm,1
lepi035,2,2.1,cm,1
lepi036,1,0.73,cm,1
lepi036,2,0.40,cm,2
lepi036,3,0.44,cm,2
lepi036,4,0.41,cm,2
lepi036,5,0.41,cm,2
lepi036,6,0.42,cm,2
lepi036,7,0.43,cm,2
lepi036,8,0.39,cm,2
lepi036,9,0.43,cm,2
lepi036,10,0.56,cm,2
lepi037,1,0.65,cm,2
lepi037,2,0.66,cm,1
lepi037,3,0.44,cm,2
lepi037,4,0.47,cm,2
lepi037,5,0.54,cm,2
lepi037,6,0.41,cm,2
lepi037,7,0.60,cm,2
lepi037,8,0.61,cm,2
lepi037,9,0.59,cm,2
lepi037,10,0.50,cm,2
lepi037,11,0.54,cm,2
lepi037,12,0.52,cm,1
lepi037,13,0.79,cm,2
lepi037,14,0.63,cm,2
lepi037,15,0.58,cm,2
lepi037,16,0.57,cm,2
lepi037,17,0.43,cm,2
lepi037,18,0.63,cm,2
lepi037,19,0.46,cm,2
lepi037,20,0.38,cm,2
lepi038,1,2.5,cm,1
lepi038,2,0.98,cm,2
lepi038,3,2.6,cm,1
lepi038,4,2.8,cm,1
lepi038,5,0.85,cm,2
lepi039,1,2.5,cm,1
lepi039,2,0.7,cm,2
lepi039,3,0.61,cm,2
lepi039,4,0.62,cm,2
lepi039,5,0.86,cm,1
lepi039,6,0.48,cm,2
lepi039,7,0.55,cm,2
lepi040,1,0.95,cm,2
lepi040,2,0.39,cm,2
lepi040,3,0.87,cm,2
lepi040,4,1.01,cm,2
lepi040,5,0.63,cm,2
lepi040,6,0.88,cm,2
lepi040,7,0.91,cm,2
lepi040,8,0.54,cm,2
lepi041,1,0.87,cm,2
lepi041,2,0.95,cm,2
lepi041,3,0.86,cm,2
lepi041,4,0.73,cm,2
lepi041,5,2.30,cm,1
lepi041,6,0.72,cm,2
lepi041,7,0.98,cm,2
lepi041,8,0.77,cm,2
lepi041,9,0.76,cm,2
lepi041,10,0.99,cm,2
lepi041,11,0.93,cm,2
lepi041,12,0.62,cm,2
lepi041,13,0.63,cm,2
lepi041,14,2.4,cm,1
lepi041,15,0.62,cm,2
lepi041,16,0.65,cm,2
lepi041,17,0.80,cm,2
lepi041,18,2.7,cm,1
lepi041,19,0.82,cm,2
lepi041,20,0.96,cm,2
lepi042,1,0.77,cm,2
lepi042,2,0.75,cm,2
lepi042,3,0.73,cm,2
lepi042,4,0.78,cm,2
lepi042,5,0.63,cm,2
lepi042,6,0.79,cm,2
lepi042,7,0.85,cm,2
lepi042,8,0.64,cm,2
lepi042,9,0.85,cm,2
lepi042,10,0.93,cm,2
lepi042,11,0.77,cm,2
lepi042,12,0.60,cm,2
lepi042,13,0.74,cm,2
lepi042,14,1.03,cm,2
lepi042,15,0.66,cm,2
lepi042,16,0.76,cm,2
lepi042,17,0.53,cm,2
lepi042,18,0.60,cm,2
lepi042,19,0.83,cm,2
lepi042,20,0.88,cm,1
lepi043,1,0.93,cm,1
lepi043,2,1.03,cm,1
lepi043,3,0.92,cm,1
lepi043,4,0.95,cm,1
lepi044,1,2.4,cm,1
lepi044,2,0.67,cm,2
lepi044,3,0.60,cm,1
lepi044,4,2.33,cm,1
lepi044,5,0.56,cm,2
lepi045,1,0.78,cm,1
lepi045,2,0.70,cm,1
lepi045,3,0.88,cm,1
lepi047,1,0.45,cm,2
lepi047,2,0.73,cm,2
lepi047,3,0.33,cm,2
lepi048,1,0.72,cm,0.5
lepi048,2,0.52,cm,0.5
lepi049,1,0.60,cm,2
lepi049,2,0.58,cm,2
lepi049,3,0.92,cm,2
lepi049,4,0.70,cm,2
lepi049,5,0.82,cm,2
lepi049,6,0.84,cm,2
lepi049,7,0.78,cm,2
lepi049,8,0.80,cm,2
lepi049,9,0.54,cm,2
lepi049,10,0.78,cm,2
lepi049,11,2.3,cm,1
lepi049,12,0.95,cm,1
lepi049,13,0.65,cm,2
lepi049,14,0.55,cm,2
lepi049,15,0.80,cm,2
lepi049,16,0.49,cm,2
lepi049,17,2.1,cm,1
lepi049,18,0.67,cm,2
lepi049,19,0.44,cm,2
lepi049,20,0.85,cm,2
lepi050,1,2.2,cm,1
lepi050,2,2.4,cm,1
lepi050,3,3.55,cm,1
lepi050,4,3.25,cm,1
lepi050,5,2.2,cm,1
lepi050,6,3.4,cm,1
lepi050,7,0.85,cm,2
lepi050,8,0.99,cm,2
lepi050,9,3.75,cm,1
lepi050,10,3.8,cm,1
lepi050,11,0.84,cm,2
lepi050,12,0.61,cm,2
lepi050,13,4.7,cm,1
lepi050,14,2.8,cm,1
lepi050,15,0.73,cm,2
lepi050,16,0.78,cm,2
lepi050,17,0.68,cm,2
lepi050,18,0.64,cm,2
lepi051,1,0.91,cm,2
lepi051,2,2.0,cm,1
lepi051,3,0.65,cm,2
lepi051,4,0.57,cm,2
lepi051,5,0.85,cm,2
lepi052,1,0.59,cm,2
lepi052,2,0.32,cm,2
lepi052,3,0.36,cm,2
lepi052,4,0.48,cm,2
lepi052,5,0.56,cm,2
lepi052,6,0.58,cm,2
lepi052,7,0.52,cm,2
lepi052,8,0.38,cm,2
lepi052,9,0.45,cm,2
lepi052,10,0.48,cm,2
lepi053,1,0.86,cm,2
